rho,l,gamma
0.0,5,0.8712138
0.0,6,0.9473159999999998
0.0,7,0.9887604285714282
0.0,8,0.9964421249999998
0.0,9,0.9917853333333337
0.0,10,0.9602324000000002
0.0,11,0.8905067272727274
0.0,12,0.8286299166666669
0.0,13,0.7825253846153845
0.0,14,0.7448537142857142
0.0,15,0.6950967333333332
0.0,16,0.6592268749999998
0.0,17,0.6251234117647061
0.0,18,0.5951403333333332
0.0,19,0.5649235789473688
0.0,20,0.5468123000000003
0.0,21,0.5262178095238097
0.0,22,0.5057219545454544
0.0,23,0.4959530000000001
0.0,24,0.4761768333333333
0.0,25,0.45747636
0.0,26,0.4468916538461538
0.0,27,0.42408033333333317
0.0,28,0.4184605714285714
0.0,29,0.40037910344827593
0.0,30,0.40063479999999996
1.0e-5,5,0.8035078000000001
1.0e-5,6,0.9641326666666667
1.0e-5,7,0.9844784285714282
1.0e-5,8,0.9789300000000004
1.0e-5,9,0.9579606666666665
1.0e-5,10,0.9163912999999999
1.0e-5,11,0.8646821818181819
1.0e-5,12,0.8106085833333334
1.0e-5,13,0.7679754615384615
1.0e-5,14,0.7241863571428572
1.0e-5,15,0.6876942666666666
1.0e-5,16,0.6437264375000001
1.0e-5,17,0.6193154705882351
1.0e-5,18,0.5868698333333333
1.0e-5,19,0.559499842105263
1.0e-5,20,0.5450747
1.0e-5,21,0.5232947142857143
1.0e-5,22,0.4942405909090909
1.0e-5,23,0.4762255217391304
1.0e-5,24,0.4654802083333335
1.0e-5,25,0.45380336
1.0e-5,26,0.43890292307692297
1.0e-5,27,0.42289407407407403
1.0e-5,28,0.4255600357142857
1.0e-5,29,0.403163172413793
1.0e-5,30,0.39833450000000004
0.0005,5,0.2365403999999999
0.0005,6,0.2738850000000001
0.0005,7,0.37806200000000034
0.0005,8,0.38039024999999993
0.0005,9,0.40981822222222236
0.0005,10,0.45861269999999976
0.0005,11,0.47612309090909105
0.0005,12,0.5148497499999999
0.0005,13,0.4942833846153848
0.0005,14,0.5108662142857144
0.0005,15,0.49302720000000017
0.0005,16,0.48700062499999996
0.0005,17,0.4792053529411764
0.0005,18,0.4538733888888886
0.0005,19,0.4338047894736842
0.0005,20,0.4355974999999999
0.0005,21,0.41350014285714287
0.0005,22,0.4126143636363637
0.0005,23,0.39888191304347836
0.0005,24,0.3807167499999998
0.0005,25,0.3644988799999998
0.0005,26,0.36497661538461534
0.0005,27,0.36717529629629625
0.0005,28,0.34570092857142853
0.0005,29,0.33936762068965526
0.0005,30,0.3427332333333334
0.0001,5,0.4268071999999999
0.0001,6,0.5764913333333334
0.0001,7,0.8157038571428571
0.0001,8,0.8535110000000006
0.0001,9,0.8301878888888892
0.0001,10,0.8016061000000001
0.0001,11,0.7555062727272726
0.0001,12,0.7345855833333335
0.0001,13,0.6843574615384616
0.0001,14,0.663199785714286
0.0001,15,0.6209056666666666
0.0001,16,0.5807052500000002
0.0001,17,0.5743275294117648
0.0001,18,0.5435576666666665
0.0001,19,0.5239125263157896
0.0001,20,0.5103483500000001
0.0001,21,0.4759871428571429
0.0001,22,0.4683277272727274
0.0001,23,0.4471816956521739
0.0001,24,0.4373235416666665
0.0001,25,0.42774760000000006
0.0001,26,0.41603842307692324
0.0001,27,0.4013924074074076
0.0001,28,0.40839221428571415
0.0001,29,0.3882865862068964
0.0001,30,0.3743324999999998
